vFCBC Regions (Official NRS Regions),E-licence Regions,nrs_region
Cariboo Natural Resource Region,5 - Cariboo,Cariboo
Kootenay-Boundary Natural Resource Region,4 - Kootenay,Kootenay Boundary
Northeast Natural Resource Region,9 - North East,Northeast
Omineca Natural Resource Region,7 - Omineca - Peace,Omineca
Skeena Natural Resource Region,6 - Skeena,Skeena
South Coast Natural Resource Region,2 - Lower Mainland,South Coast
Thompson-Okanagan Natural Resource Region,3 - Thompson,Thompson Okanagan
Thompson-Okanagan Natural Resource Region,8 - Okanagan,Thompson Okanagan
West Coast Natural Resource Region,1 - Vancouver Island,West Coast
